MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
055:+0.698|+0.000|+0.110|-0.142|+0.000|+0.000|+0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.270|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
056:+0.446|+0.000|+0.362|+0.110|+0.000|+0.000|+0.252|+0.000|+0.000|+0.000|+0.000|+0.000|-0.270|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
057:+0.194|+0.000|+0.110|+0.380|+0.000|+0.000|-0.252|+0.000|+0.000|+0.000|+0.000|+0.000|-0.270|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
058:+0.465|+0.000|-0.142|+0.110|-0.000|+0.000|-0.252|+0.000|+0.000|+0.000|+0.000|+0.000|+0.270|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
059:+0.717|+0.000|+0.110|-0.160|-0.000|+0.000|+0.252|+0.000|+0.000|+0.000|+0.000|+0.000|+0.288|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
060:+0.447|+0.000|+0.380|+0.110|-0.000|+0.000|+0.270|+0.000|+0.000|+0.000|+0.000|+0.000|-0.288|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
061:+0.177|+0.000|+0.110|+0.398|-0.000|+0.000|-0.270|+0.000|+0.000|+0.000|+0.000|+0.000|-0.288|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
062:+0.465|+0.000|-0.160|+0.110|-0.000|+0.000|-0.270|+0.000|+0.000|+0.000|+0.000|+0.000|+0.288|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
063:+0.735|+0.000|+0.110|-0.178|-0.000|+0.000|+0.270|+0.000|+0.000|+0.000|+0.000|+0.000|+0.306|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
064:+0.447|+0.000|+0.398|+0.110|-0.000|+0.000|+0.288|+0.000|+0.000|+0.000|+0.000|+0.000|-0.306|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
065:+0.159|+0.000|+0.110|+0.416|-0.000|+0.000|-0.288|+0.000|+0.000|+0.000|+0.000|+0.000|-0.306|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
066:+0.466|+0.000|-0.178|+0.110|-0.000|+0.000|-0.288|+0.000|+0.000|+0.000|+0.000|+0.000|+0.306|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
067:+0.754|+0.000|+0.109|-0.196|-0.000|+0.000|+0.288|+0.000|+0.000|+0.000|+0.000|+0.000|+0.324|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
068:+0.448|+0.000|+0.415|+0.110|-0.000|+0.000|+0.306|+0.000|+0.000|+0.000|+0.000|+0.000|-0.324|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
