H0|H0'|E|1|1_p1|1_p2|partial1|
072:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
073:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
074:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
075:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
076:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
077:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
078:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
079:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
080:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
081:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
082:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
083:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
084:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
085:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
086:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
087:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
088:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
089:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
090:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
091:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
092:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
093:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
094:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
095:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
096:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
097:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
098:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
099:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
100:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
101:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
102:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
103:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
104:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
105:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
106:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
107:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
108:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
109:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
110:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
111:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
112:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
113:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
114:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
115:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
116:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
117:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
118:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
119:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
120:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
