H0|H0'|E|1|1_p1|1_p2|partial1|
117:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
118:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
119:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
120:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
121:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
122:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
123:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
124:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
125:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
126:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
127:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
128:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
129:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
130:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
131:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
132:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
133:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
134:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
135:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
136:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
137:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
138:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
139:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
140:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
141:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
142:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
143:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
144:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
145:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
146:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
147:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
148:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
149:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
150:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
151:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
152:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
153:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
154:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
155:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
156:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
157:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
158:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
159:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
160:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
161:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
162:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
163:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
164:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
165:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
166:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
167:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
168:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
169:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
170:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
